OBJECTID,GEOID10,STATEFP10,COUNTY,COUNTYFP10,COUSUBFP10,COUSUBNS10,POP10,NAME10,NAMELSAD10,LSAD10,CLASSFP10,MTFCC10,CNECTAFP10,NECTAFP10,NCTADVFP10,ALAND10,AWATER10,SQM,POPDEN10,ACRES,GlobalID,SHAPEarea,SHAPElen
1,2301901115,23,Penobscot,019,01115,00582322,890,Alton,Alton town,43,T1,G4040,,70750,,109593636,631955,43,20.697674419999998,27216,{181AC189-FFE2-49A2-87BC-AB0171D4C54A},110138338.624916404485703,49671.704315483082610
2,2301901500,23,Penobscot,019,01500,02378257,277,Argyle,Argyle UT,46,Z3,G4040,,70750,,68988918,0,27,10.259259260000000,17034,{F1E08F27-900F-47E9-A511-B129234B5197},68934731.968347176909447,51906.205777788818523
3,2301902795,23,Penobscot,019,02795,00582340,33039,Bangor,Bangor city,25,C5,G4040,,70750,,88734553,863407,35,943.971428569999944,22122,{AC6419FD-2750-4FAB-99A7-68C1837CA2F4},89526907.236594885587692,38869.733591160329524
4,2301906575,23,Penobscot,019,06575,00582363,1290,Bradford,Bradford town,43,T1,G4040,,70750,,106666156,0,41,31.463414629999999,26337,{F9F371F0-8476-4C43-844F-F0DD56F3DEAD},106581012.446242958307266,41292.305648781846685
5,2301932510,23,Penobscot,019,32510,00582517,5416,Hermon,Hermon town,43,T1,G4040,,70750,,92893197,2425603,37,146.378378379999987,23535,{6F46F9B5-E5D3-4D2E-B6CB-4D2D4501CDB0},95242705.098686546087265,42767.584815368922136
6,2301933490,23,Penobscot,019,33490,00582522,3076,Holden,Holden town,43,T1,G4040,,70750,,81123995,3131152,33,93.212121210000006,20804,{6C2919FA-2495-473D-9146-16F6AF9A45AA},84189230.275135993957520,41137.115033459784172
7,2301934190,23,Penobscot,019,34190,00582526,1241,Howland,Howland town,43,T1,G4040,,70750,,90440161,1815154,36,34.472222219999999,22779,{94471707-7189-439B-9B14-876A61AB3961},92182801.198329120874405,43768.360319050960243
8,2301934365,23,Penobscot,019,34365,00582527,1536,Hudson,Hudson town,43,T1,G4040,,70750,,97485317,6181723,40,38.399999999999999,25596,{CB3880AE-37DC-44C6-9CA6-BD2AF8777E8C},103584371.289663434028625,40769.708132433443097
9,2301936325,23,Penobscot,019,36325,00582538,1348,Kenduskeag,Kenduskeag town,43,T1,G4040,,70750,,43391685,0,17,79.294117650000004,10714,{FF80E719-F4F5-4B6A-8B35-FBBA35ECD7CF},43357021.412816196680069,26876.725257781632536
10,2301937075,23,Penobscot,019,37075,02378262,174,Kingman,Kingman UT,46,Z3,G4040,,,,64766360,845984,25,6.960000000000000,16202,{F7B9A49C-8730-40D3-9CA4-4C86E76C8620},65566098.490590870380402,33387.080555867090879
24,2301919868,23,Penobscot,019,19868,00582454,343,East Central Penobscot,East Central Penobscot UT,46,Z3,G4040,,70750,,296491349,3331426,116,2.956896550000000,74038,{4E08C232-045D-4FA0-AA19-9434E1733ECF},299620765.335373818874359,79600.782391568485764
25,2301921030,23,Penobscot,019,21030,00582458,1723,East Millinocket,East Millinocket town,43,T1,G4040,,,,18376959,1839924,8,215.375000000000000,4992,{BD69E2B6-8E66-4C31-92EC-7B9715618704},20201229.470255520194769,18724.370103830100561
26,2301922535,23,Penobscot,019,22535,00582461,2225,Eddington,Eddington town,43,T1,G4040,,70750,,64722097,4017866,27,82.407407410000005,16973,{CB5C66E5-D9F2-493D-AE8B-CBE956D46F6F},68686518.332403123378754,47471.687133169834851
27,2301922710,23,Penobscot,019,22710,00582463,131,Edinburg,Edinburg town,43,T1,G4040,,70750,,90673301,0,35,3.742857140000000,22388,{0938308B-99ED-4213-9A4C-72011C7CE15E},90602127.950095161795616,39186.811834279797040
28,2301923620,23,Penobscot,019,23620,00582467,1607,Enfield,Enfield town,43,T1,G4040,,70750,,71832254,13622928,33,48.696969699999997,21100,{922B82EA-D167-4756-A569-35E2DC1B7F8E},85389078.250390335917473,44041.191424746488337
29,2301923865,23,Penobscot,019,23865,00582468,1246,Etna,Etna town,43,T1,G4040,,70750,,64253326,414393,25,49.840000000000003,15967,{5DB1D388-2B06-4C25-88B9-608D580A0348},64616181.589648000895977,33178.857960532710422
30,2301924110,23,Penobscot,019,24110,00582470,1092,Exeter,Exeter town,43,T1,G4040,,70750,,99875579,63697,39,28.000000000000000,24676,{B839EEA3-65A1-43CA-8A42-6D2DEF2772E3},99859644.486843913793564,40296.611145281342033
11,2301906680,23,Penobscot,019,06680,00582364,1492,Bradley,Bradley town,43,T1,G4040,,70750,,128264832,2937432,51,29.254901960000002,32396,{A24EE90A-6F7C-4764-8CF7-0A4D6F082391},131101161.674496963620186,47832.371881932813267
12,2301906925,23,Penobscot,019,06925,00582366,9482,Brewer,Brewer city,25,C5,G4040,,70750,,39455711,1168417,16,592.625000000000000,10030,{AE3DE71E-A138-4548-827F-258F0C2A6535},40592080.278730876743793,26479.508829467904434
13,2301909200,23,Penobscot,019,09200,00582378,363,Burlington,Burlington town,43,T1,G4040,,,,139876176,5803624,56,6.482142860000000,35972,{A54C77FE-9A34-4B4F-8FDC-A616E7289ED7},145575495.869216769933701,51170.002156703376386
14,2301910670,23,Penobscot,019,10670,00582390,2794,Carmel,Carmel town,43,T1,G4040,,70750,,94612249,946574,37,75.513513509999996,23594,{71F92798-78A4-4C72-A350-07AE9DA34ECC},95482428.382337912917137,39099.650141660153167
15,2301910810,23,Penobscot,019,10810,00582392,153,Carroll,Carroll plantation,39,T1,G4040,,,,113841706,450635,44,3.477272730000000,28224,{93ADEF20-F8ED-48AB-AF9F-7C2C76D5061D},114217009.503263533115387,45426.184916804566456
16,2301912105,23,Penobscot,019,12105,00582404,1409,Charleston,Charleston town,43,T1,G4040,,70750,,105031183,33017,41,34.365853659999999,25941,{3D59FAA6-E556-47F2-8277-4FEB769494BC},104980211.612248957157135,40922.703740154727711
17,2301912525,23,Penobscot,019,12525,00582408,546,Chester,Chester town,43,T1,G4040,,,,118703767,11650,46,11.869565220000000,29313,{72FFEB8B-1868-4680-A481-AD2960848EAB},118624676.014148473739624,58603.164011866654619
18,2301913365,23,Penobscot,019,13365,00582411,921,Clifton,Clifton town,43,T1,G4040,,70750,,89430978,3550319,36,25.583333329999999,22959,{42235A3B-9E46-472B-8FEC-87A2AAB05D1C},92910418.842374742031097,38830.527902281202842
19,2301914310,23,Penobscot,019,14310,00582419,2198,Corinna,Corinna town,43,T1,G4040,,,,100175076,2007967,39,56.358974359999998,25230,{EC9246E8-E750-49DF-8565-CEC0F82FF326},102102370.861307725310326,40509.977549070099485
20,2301914380,23,Penobscot,019,14380,00582420,2878,Corinth,Corinth town,43,T1,G4040,,70750,,104299270,0,40,71.950000000000003,25752,{8FA5EE83-4E78-4E6B-99E5-CD843902C51D},104215877.282467842102051,40824.154399187456875
21,2301917530,23,Penobscot,019,17530,00582442,3895,Dexter,Dexter town,43,T1,G4040,,,,90976548,5250207,37,105.270270269999997,23759,{9689D707-9C4A-4CF5-B05F-3546B242B246},96150973.276446297764778,39272.837567275440961
22,2301917950,23,Penobscot,019,17950,00582444,1181,Dixmont,Dixmont town,43,T1,G4040,,70750,,93987426,375583,36,32.805555560000002,23299,{3C0B5246-FC7C-4AF2-A622-BDAC301E65B8},94287814.709796801209450,38838.507794857956469
23,2301918580,23,Penobscot,019,18580,00582447,46,Drew,Drew plantation,39,T1,G4040,,,,98503783,2781593,39,1.179487180000000,25011,{618BED87-5FD1-4847-AAFE-9A6DE2A9C91A},101216692.584163516759872,42935.686195230715384
59,2300302760,23,Aroostook,003,02760,00582339,68,Bancroft,Bancroft town,43,T1,G4040,,,,104720502,1440324,41,1.658536590000000,26216,{1B96C0BD-E9CB-4145-9AAB-9A10909D580F},106092552.614749521017075,49038.488531800489000
60,2300305385,23,Aroostook,003,05385,00582355,726,Blaine,Blaine town,43,T1,G4040,,,,48164799,140418,19,38.210526320000000,11929,{3C122D61-1723-47F5-8341-3130687B0118},48275847.582473516464233,29521.674285613094980
61,2300307065,23,Aroostook,003,07065,00582367,610,Bridgewater,Bridgewater town,43,T1,G4040,,,,100490499,441599,39,15.641025640000001,24926,{67AAEF36-94A8-48F9-BFFC-89785548A79A},100870859.214375033974648,40216.248016577665112
62,2300310565,23,Aroostook,003,10565,00582389,8189,Caribou,Caribou city,25,C5,G4040,,,,205279025,2166240,80,102.362499999999997,51227,{D668D267-BC98-4E4A-A929-2B5D6AABE78D},207309470.350498825311661,61244.255299593911332
63,2300311020,23,Aroostook,003,11020,00582394,218,Cary,Cary plantation,39,T1,G4040,,,,48582667,0,19,11.473684210000000,11998,{DB552C21-4783-4121-B504-51A63D0DD742},48553340.169918723404408,29963.203557429802459
64,2300311300,23,Aroostook,003,11300,00582397,425,Castle Hill,Castle Hill town,43,T1,G4040,,,,92443831,1191385,36,11.805555560000000,23121,{7F44432D-C3A3-477C-AC5B-88E9F1E2902A},93568172.815993636846542,38737.780089677486103
