index_x,Location,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Max_Year,Max,Mean,index_y,OBJECTID,NAME10,GEOID10,COUNTY,COUNTYFP10,POP10,MEAN_2011_2017
0,Abbot,,,,,,,,,0,,2016,0,0,0,408,Abbot,2302100100,Piscataquis,21,714,0
1,Acton,42.1,41.8,40.9,120.9,0,160,39.4,198.6,78.1,195.2,2015,198.6,91.7,1,252,Acton,2303100275,York,31,2447,113.1714286
2,Addison,,0,,0,0,0,,,0,485.4,2017,485.4,80.9,2,44,Addison,2302900380,Washington,29,1266,97.08
3,Albion,47.1,0,0,48.5,97.6,98.1,48.6,147.4,487.8,439,2016,487.8,141.41,3,476,Albion,2301100590,Kennebec,11,2041,195.2857143
4,Alexander,,0,,0,0,0,0,0,,0,2009,0,0,4,45,Alexander,2302900660,Washington,29,499,0
5,Alfred,138.8,102.4,99.4,197.2,65.5,98.4,228.7,32.7,32.5,162.3,2014,228.7,115.79,5,253,Alfred,2303100730,York,31,3019,116.7571429
6,Allagash,,,,,,,0,,0,0,2014,0,0,6,48,Allagash,2300300800,Aroostook,3,239,0
7,Alna,,0,,,,,0,,,,2009,0,0,7,396,Alna,2301501010,Lincoln,15,709,0
8,Alton,0,,0,0,0,0,0,0,0,0,2008,0,0,8,1,Alton,2301901115,Penobscot,19,890,0
9,Amherst,0,0,0,0,0,0,0,0,0,0,2008,0,0,9,229,Amherst,2300901185,Hancock,9,265,0
10,Amity,,,,,,,0,,0,0,2014,0,0,10,49,Amity,2300301220,Aroostook,3,238,0
11,Andover,0,0,0,0,0,0,0,0,0,0,2008,0,0,11,338,Andover,2301701325,Oxford,17,821,0
12,Anson,0,0,39.8,0,0,40.2,0,0,0,122.4,2017,122.4,20.24,12,288,Anson,2302501395,Somerset,25,2511,23.22857143
13,Appleton,0,0,,,,447.8,,,,,2013,447.8,149.2666667,13,442,Appleton,2301301465,Knox,13,1316,447.8
14,Argyle,0,,0,0,0,0,0,0,0,0,2008,0,0,14,2,Argyle,2301901500,Penobscot,19,277,0
15,Arrowsic,,,,,,,,,,,,,,15,424,Arrowsic,2302301570,Sagadahoc,23,427,0
16,Arundel,175.3,176.3,74.6,74.5,98.2,98.8,122,48.9,24.3,48.7,2009,176.3,94.16,16,254,Arundel,2303101605,York,31,4022,73.62857143
17,Ashland,,,,,,,,,0,0,2016,0,0,17,50,Ashland,2300301710,Aroostook,3,1302,0
18,Athens,0,0,0,0,0,,0,0,0,,2008,0,0,18,289,Athens,2302501885,Somerset,25,1019,0
19,Atkinson,,,,,,,,,0,0,2016,0,0,19,409,Atkinson,2302101920,Piscataquis,21,326,0
20,Auburn,39.5,56.5,47.7,69.6,39.3,48.1,74.7,43.6,57.5,79.6,2017,79.6,55.61,20,450,Auburn,2300102060,Androscoggin,1,23055,58.91428571
21,Augusta,65.2,95.4,31.4,79.5,95.3,133.6,123.4,130.3,136.1,152.4,2017,152.4,104.26,21,477,Augusta,2301102100,Kennebec,11,19136,121.5142857
22,Aurora,0,0,0,0,0,,0,0,0,0,2008,0,0,22,156,Aurora,2300902165,Hancock,9,114,0
23,Avon,0,0,0,0,0,0,0,0,0,0,2008,0,0,23,287,Avon,2300702235,Franklin,7,461,0
24,Baileyville,,0,,0,0,0,0,0,0,0,2009,0,0,24,46,Baileyville,2302902480,Washington,29,1521,0
25,Baldwin,,0,,,,,,,,,2009,0,0,25,494,Baldwin,2300502655,Cumberland,5,1525,0
26,Bancroft,,,,,,,0,,0,0,2014,0,0,26,59,Bancroft,2300302760,Aroostook,3,68,0
27,Bangor,3.2,,12.1,3.1,6.1,33.9,15.3,27.6,39.9,46.1,2017,46.1,20.81111111,27,3,Bangor,2301902795,Penobscot,19,33039,24.57142857
28,Bar Harbor,78,267.2,171.9,153.6,153.3,133.4,272.1,289.9,388.5,407.9,2017,407.9,231.58,28,157,Bar Harbor,2300902865,Hancock,9,5235,256.9571429
29,Baring,,0,,0,0,0,0,0,0,0,2009,0,0,29,47,Baring,2302902970,Washington,29,251,0
30,Bath,78.1,115.8,82.2,59.2,59.4,119.7,119.8,35.9,108.3,96.3,2014,119.8,87.47,30,425,Bath,2302303355,Sagadahoc,23,8514,85.51428571
31,Beals,,0,,0,0,0,0,0,0,0,2009,0,0,31,51,Beals,2302903670,Washington,29,508,0
32,Beaver Cove,,,,,,,,,0,0,2016,0,0,32,410,Beaver Cove,2302103740,Piscataquis,21,122,0
33,Beddington,,,,0,0,,,,,,2011,0,0,33,52,Beddington,2302903810,Washington,29,50,0
34,Belfast,15,44.9,30,153.5,121.2,105.8,76.1,151.1,153.5,230.2,2017,230.2,108.13,34,388,Belfast,2302703950,Waldo,27,6668,141.6285714
35,Belgrade,91.7,154.6,0,343.2,62.6,251.8,125.7,189.8,344.3,250.4,2016,344.3,181.41,35,478,Belgrade,2301104020,Kennebec,11,3189,223.9714286
36,Belmont,0,0,,,0,,,,0,,2008,0,0,36,389,Belmont,2302704125,Waldo,27,942,0
37,Benton,0,36.8,0,72.9,36.7,110.7,74,36.9,73.2,329.5,2017,329.5,77.07,37,479,Benton,2301104475,Kennebec,11,2732,104.8428571
38,Berwick,157.3,109,124.2,94.9,134,183.3,120,118.7,78.2,65.1,2013,183.3,118.47,38,255,Berwick,2303104720,York,31,7246,113.4571429
39,Bethel,0,0,0,0,38.2,115,0,38,37.9,113.8,2013,115,34.29,39,339,Bethel,2301704825,Oxford,17,2607,48.98571429
40,Biddeford,79.9,42.3,56.4,60.7,74.7,55.4,64.7,18.3,27.1,40.7,2008,79.9,52.02,40,256,Biddeford,2303104860,York,31,21277,48.8
41,Bingham,0,0,0,0,0,,0,0,0,,2008,0,0,41,297,Bingham,2302505000,Somerset,25,922,0
42,Blaine,,,,,,,0,,0,0,2014,0,0,42,60,Blaine,2300305385,Aroostook,3,726,0
43,Blanchard,,,,,,,,,0,0,2016,0,0,43,411,Blanchard,2302105560,Piscataquis,21,98,0
44,Blue Hill,0,0,37.2,74.2,149.4,299,637.2,380.7,419.5,457.7,2014,637.2,245.49,44,158,Blue Hill,2300905700,Hancock,9,2686,345.3857143
45,Boothbay,31.1,0,0,32.5,161.6,161.7,64.6,131.1,97.6,130.2,2013,161.7,81.04,45,397,Boothbay,2301506050,Lincoln,15,3120,111.3285714
46,Boothbay Harbor,0,0,0,0,0,48.1,143.7,96.8,147.5,147.5,2016,147.5,58.36,46,398,Boothbay Harbor,2301506120,Lincoln,15,2165,83.37142857
47,Bowdoin,66.8,99.8,163.3,194.9,227,194.9,226.1,159.8,383.9,255.9,2016,383.9,197.24,47,426,Bowdoin,2302306260,Sagadahoc,23,3061,234.6428571
48,Bowdoinham,356.4,388.8,242.3,310.7,345.7,451.5,276.8,204.5,337.7,574.1,2017,574.1,348.85,48,427,Bowdoinham,2302306365,Sagadahoc,23,2889,357.2857143
49,Bowerbank,,,,,,,,,0,0,2016,0,0,49,412,Bowerbank,2302106400,Piscataquis,21,116,0
