,Location,Year,Number,Population,Rate
2,Islesboro,2013.0,37.0,557.0,6642.7
3,Islesboro,2014.0,15.0,552.0,2717.4
4,North Haven,2015.0,9.0,363.0,2479.3
5,North Haven,2013.0,8.0,359.0,2228.4
6,North Haven,2014.0,8.0,363.0,2203.9
7,Islesboro,2016.0,11.0,552.0,1992.8
8,Islesboro,2008.0,7.0,651.0,1075.3
9,Deer Isle,2013.0,20.0,1938.0,1032.0
10,South Thomaston,2011.0,13.0,1576.0,824.9
11,Georgetown,2016.0,8.0,1028.0,778.2
12,Deer Isle,2016.0,15.0,1940.0,773.2
13,Saint George,2015.0,19.0,2584.0,735.3
14,Pownal,2016.0,11.0,1502.0,732.4
15,Brooklin,2016.0,6.0,830.0,722.9
16,Bristol,2014.0,19.0,2709.0,701.4
17,Cornish,2014.0,10.0,1428.0,700.3
18,Georgetown,2015.0,7.0,1028.0,680.9
19,Sedgwick,2014.0,8.0,1215.0,658.4
20,Penobscot,2015.0,8.0,1244.0,643.1
21,Blue Hill,2014.0,17.0,2668.0,637.2
22,Pownal,2014.0,9.0,1502.0,599.2
23,Bristol,2015.0,16.0,2709.0,590.6
24,South Thomaston,2010.0,9.0,1558.0,577.7
25,Union,2016.0,13.0,2254.0,576.8
26,South Thomaston,2012.0,9.0,1567.0,574.3
27,Milbridge,2016.0,7.0,1286.0,544.3
28,Saint George,2012.0,14.0,2589.0,540.7
29,Pownal,2009.0,8.0,1519.0,526.7
30,Washington,2014.0,8.0,1525.0,524.6
31,Rockport,2015.0,17.0,3325.0,511.3
32,South Thomaston,2016.0,8.0,1569.0,509.9
33,Saint George,2013.0,13.0,2580.0,503.9
34,Phippsburg,2016.0,11.0,2194.0,501.4
35,Saint George,2011.0,13.0,2621.0,496.0
36,Mount Desert,2016.0,10.0,2046.0,488.8
37,Union,2011.0,11.0,2260.0,486.7
38,Penobscot,2016.0,6.0,1244.0,482.3
39,North Yarmouth,2013.0,17.0,3630.0,468.3
40,Pownal,2013.0,7.0,1496.0,467.9
41,Deer Isle,2014.0,9.0,1940.0,463.9
42,Damariscotta,2016.0,10.0,2158.0,463.4
43,Saint George,2009.0,12.0,2606.0,460.5
44,Trenton,2015.0,7.0,1528.0,458.1
45,Trenton,2016.0,7.0,1528.0,458.1
46,Owls Head,2016.0,7.0,1543.0,453.7
47,Rockport,2012.0,15.0,3310.0,453.2
48,Bowdoinham,2013.0,13.0,2879.0,451.5
49,Orland,2016.0,10.0,2222.0,450.0
50,Appleton,2013.0,6.0,1340.0,447.8
51,Union,2012.0,10.0,2260.0,442.5
52,Owls Head,2011.0,7.0,1587.0,441.1
53,Mount Desert,2015.0,9.0,2046.0,439.9
54,Castine,2015.0,6.0,1365.0,439.6
55,Castine,2016.0,6.0,1365.0,439.6
56,Albion,2016.0,9.0,2057.0,437.5
57,East Machias,2015.0,6.0,1404.0,427.4
58,Searsmont,2016.0,6.0,1413.0,424.6
59,Readfield,2013.0,11.0,2600.0,423.1
60,Rockport,2014.0,14.0,3325.0,421.1
61,Dresden,2013.0,7.0,1673.0,418.4
62,North Yarmouth,2009.0,15.0,3623.0,414.0
63,Warren,2014.0,20.0,4841.0,413.1
64,Deer Isle,2015.0,8.0,1940.0,412.4
65,Blue Hill,2016.0,11.0,2668.0,412.3
66,Jefferson,2011.0,10.0,2435.0,410.7
67,Newcastle,2016.0,7.0,1706.0,410.3
68,Dresden,2008.0,7.0,1707.0,410.1
69,North Yarmouth,2014.0,15.0,3675.0,408.2
70,Jefferson,2014.0,10.0,2452.0,407.8
71,Bristol,2016.0,11.0,2709.0,406.1
72,Orland,2015.0,9.0,2222.0,405.0
73,Woolwich,2016.0,12.0,3063.0,391.8
74,South Thomaston,2009.0,6.0,1534.0,391.1
75,Cushing,2012.0,6.0,1543.0,388.9
76,Bowdoinham,2009.0,11.0,2829.0,388.8
77,Bowdoin,2016.0,12.0,3096.0,387.6
78,South Thomaston,2013.0,6.0,1553.0,386.3
79,Hope,2014.0,6.0,1584.0,378.8
80,Hope,2016.0,6.0,1584.0,378.8
81,Stockton Springs,2013.0,6.0,1587.0,378.1
82,Newfield,2016.0,6.0,1588.0,377.8
83,Blue Hill,2015.0,10.0,2668.0,374.8
84,Winthrop,2016.0,22.0,5931.0,370.9
85,Damariscotta,2014.0,8.0,2158.0,370.7
86,Bar Harbor,2016.0,19.0,5146.0,369.2
87,Rockport,2008.0,13.0,3523.0,369.0
88,York,2009.0,47.0,12772.0,368.0
89,Jefferson,2016.0,9.0,2452.0,367.0
90,Limington,2016.0,14.0,3838.0,364.8
91,Mount Vernon,2015.0,6.0,1646.0,364.5
92,Nobleboro,2012.0,6.0,1646.0,364.5
93,Nobleboro,2013.0,6.0,1653.0,363.0
94,Dresden,2011.0,6.0,1674.0,358.4
95,Thomaston,2015.0,10.0,2791.0,358.3
96,Parsonsfield,2014.0,7.0,1956.0,357.9
97,Eliot,2009.0,22.0,6166.0,356.8
98,Bowdoinham,2008.0,10.0,2806.0,356.4
99,Deer Isle,2012.0,7.0,1979.0,353.7
100,Saint George,2016.0,9.0,2584.0,348.3
101,Readfield,2015.0,9.0,2595.0,346.8
102,Bowdoinham,2016.0,10.0,2890.0,346.0
103,Whitefield,2011.0,8.0,2312.0,346.0
104,Bowdoinham,2012.0,10.0,2893.0,345.7
105,Belgrade,2016.0,11.0,3183.0,345.6
106,Newcastle,2011.0,6.0,1736.0,345.6
107,Belgrade,2011.0,11.0,3205.0,343.2
108,Saint George,2008.0,9.0,2676.0,336.3
109,North Yarmouth,2011.0,12.0,3585.0,334.7
110,Rockport,2011.0,11.0,3295.0,333.8
111,Bristol,2013.0,9.0,2703.0,333.0
2,Chelsea,2011.0,9.0,2713.0,331.7
3,Newcastle,2009.0,6.0,1836.0,326.8
4,North Yarmouth,2015.0,12.0,3675.0,326.5
5,West Bath,2014.0,6.0,1864.0,321.9
6,Vassalboro,2013.0,14.0,4352.0,321.7
7,Kittery,2008.0,32.0,9981.0,320.6
8,Phippsburg,2008.0,7.0,2200.0,318.2
9,Winthrop,2013.0,19.0,5974.0,318.0
10,Waldoboro,2015.0,16.0,5064.0,316.0
11,Orland,2012.0,7.0,2218.0,315.6
12,Manchester,2013.0,8.0,2563.0,312.1
13,Union,2013.0,7.0,2248.0,311.4
14,Bowdoinham,2011.0,9.0,2897.0,310.7
15,Durham,2012.0,12.0,3863.0,310.6
16,Windsor,2012.0,8.0,2594.0,308.4
17,Durham,2014.0,12.0,3898.0,307.9
18,Raymond,2014.0,14.0,4548.0,307.8
19,Sidney,2013.0,13.0,4223.0,307.8
20,Whitefield,2016.0,7.0,2296.0,304.9
21,Whitefield,2013.0,7.0,2309.0,303.2
22,Pittston,2012.0,8.0,2656.0,301.2
23,North Yarmouth,2016.0,11.0,3675.0,299.3
24,Blue Hill,2013.0,8.0,2676.0,299.0
25,York,2008.0,41.0,13865.0,295.7
26,South Berwick,2009.0,21.0,7119.0,295.0
27,Camden,2012.0,14.0,4757.0,294.3
28,Richmond,2016.0,10.0,3403.0,293.9
29,Mount Desert,2014.0,6.0,2046.0,293.3
30,Richmond,2011.0,10.0,3414.0,292.9
31,Bar Harbor,2015.0,15.0,5146.0,291.5
32,Kennebunk,2008.0,32.0,11105.0,288.2
33,Eliot,2014.0,18.0,6315.0,285.0
34,Kittery,2013.0,27.0,9483.0,284.7
35,Unity,2013.0,6.0,2118.0,283.3
36,Durham,2016.0,11.0,3898.0,282.2
37,Limington,2008.0,11.0,3898.0,282.2
38,Damariscotta,2012.0,6.0,2130.0,281.7
39,Damariscotta,2013.0,6.0,2130.0,281.7
40,New Gloucester,2013.0,16.0,5689.0,281.2
41,Bowdoinham,2014.0,8.0,2890.0,276.8
42,China,2016.0,12.0,4335.0,276.8
43,North Yarmouth,2008.0,10.0,3637.0,275.0
44,Phippsburg,2009.0,6.0,2190.0,274.0
45,Lincolnville,2015.0,6.0,2193.0,273.6
46,Phippsburg,2015.0,6.0,2194.0,273.5
47,Phippsburg,2011.0,6.0,2199.0,272.9
48,Bar Harbor,2014.0,14.0,5146.0,272.1
49,Damariscotta,2010.0,6.0,2218.0,270.5
50,Eliot,2012.0,17.0,6288.0,270.4
51,Wiscasset,2016.0,10.0,3713.0,269.3
52,Orland,2013.0,6.0,2229.0,269.2
53,Oxford,2016.0,11.0,4091.0,268.9
54,Bar Harbor,2009.0,14.0,5239.0,267.2
55,Pittston,2015.0,7.0,2626.0,266.6
56,Rockport,2009.0,9.0,3386.0,265.8
57,Richmond,2014.0,9.0,3403.0,264.5
58,West Gardiner,2008.0,8.0,3027.0,264.3
59,Raymond,2013.0,12.0,4547.0,263.9
60,Bucksport,2014.0,13.0,4939.0,263.2
61,Whitefield,2009.0,6.0,2290.0,262.0
62,Chelsea,2016.0,7.0,2677.0,261.5
63,Whitefield,2015.0,6.0,2296.0,261.3
64,Limington,2014.0,10.0,3838.0,260.6
65,Whitefield,2012.0,6.0,2305.0,260.3
66,Pittston,2008.0,7.0,2699.0,259.4
67,Shapleigh,2015.0,7.0,2700.0,259.3
68,Bristol,2011.0,7.0,2716.0,257.7
69,Standish,2013.0,26.0,10090.0,257.7
70,Wells,2008.0,25.0,9742.0,256.6
71,Camden,2015.0,12.0,4679.0,256.5
72,Windsor,2008.0,6.0,2350.0,255.3
73,Vassalboro,2016.0,11.0,4353.0,252.7
74,Gray,2013.0,20.0,7928.0,252.3
75,Belgrade,2013.0,8.0,3177.0,251.8
76,Thomaston,2014.0,7.0,2791.0,250.8
77,Thomaston,2016.0,7.0,2791.0,250.8
78,Oxford,2013.0,10.0,4090.0,244.5
79,Gardiner,2016.0,14.0,5743.0,243.8
80,Monmouth,2014.0,10.0,4110.0,243.3
81,Bucksport,2012.0,12.0,4948.0,242.5
82,Bowdoinham,2010.0,7.0,2889.0,242.3
83,Rockport,2013.0,8.0,3313.0,241.5
84,Turner,2016.0,14.0,5809.0,241.0
85,Rockport,2010.0,8.0,3330.0,240.2
86,Eliot,2008.0,15.0,6260.0,239.6
87,South Berwick,2008.0,17.0,7150.0,237.8
88,Sidney,2010.0,10.0,4208.0,237.6
89,Waldoboro,2014.0,12.0,5064.0,237.0
90,Waldoboro,2016.0,12.0,5064.0,237.0
91,Limington,2013.0,9.0,3803.0,236.7
92,Freeport,2014.0,19.0,8077.0,235.2
93,Manchester,2009.0,6.0,2567.0,233.7
94,Rockland,2015.0,17.0,7283.0,233.4
95,Windsor,2010.0,6.0,2575.0,233.0
96,South Berwick,2011.0,17.0,7305.0,232.7
97,Kittery,2009.0,22.0,9504.0,231.5
98,Readfield,2016.0,6.0,2595.0,231.2
99,Kennebunk,2009.0,25.0,10822.0,231.0
100,Durham,2015.0,9.0,3898.0,230.9
101,Clinton,2016.0,8.0,3466.0,230.8
102,Windsor,2016.0,6.0,2601.0,230.7
103,Vassalboro,2011.0,10.0,4344.0,230.2
104,China,2012.0,10.0,4347.0,230.0
105,Alfred,2014.0,7.0,3061.0,228.7
106,Woolwich,2014.0,7.0,3063.0,228.5
107,Holden,2016.0,7.0,3066.0,228.3
108,China,2013.0,10.0,4383.0,228.2
109,Warren,2015.0,11.0,4841.0,227.2
110,Bowdoin,2012.0,7.0,3084.0,227.0
111,Harpswell,2009.0,11.0,4860.0,226.3
2,Bowdoin,2014.0,7.0,3096.0,226.1
3,Phippsburg,2010.0,5.0,2216.0,225.6
4,Hollis,2014.0,10.0,4445.0,225.0
5,Orland,2014.0,5.0,2222.0,225.0
6,Gray,2016.0,18.0,8002.0,224.9
7,Buxton,2009.0,18.0,8020.0,224.4
8,Cumberland,2008.0,17.0,7586.0,224.1
9,North Yarmouth,2012.0,8.0,3593.0,222.7
10,Union,2014.0,5.0,2254.0,221.8
11,Union,2015.0,5.0,2254.0,221.8
12,Chelsea,2012.0,6.0,2711.0,221.3
13,Bucksport,2013.0,11.0,4984.0,220.7
14,Whitefield,2008.0,5.0,2267.0,220.6
15,Freeport,2012.0,17.0,7831.0,217.1
16,Thomaston,2011.0,6.0,2775.0,216.2
17,Cumberland,2014.0,16.0,7547.0,212.0
18,Warren,2009.0,10.0,4719.0,211.9
19,Winthrop,2009.0,13.0,6157.0,211.1
20,Windham,2016.0,37.0,17565.0,210.6
21,Harpswell,2016.0,10.0,4764.0,209.9
22,Warren,2012.0,10.0,4767.0,209.8
23,Lebanon,2012.0,13.0,6225.0,208.8
24,Casco,2012.0,8.0,3838.0,208.4
25,Hollis,2011.0,9.0,4319.0,208.4
26,Bowdoinham,2015.0,6.0,2890.0,207.6
27,Vassalboro,2015.0,9.0,4353.0,206.8
28,Warren,2016.0,10.0,4841.0,206.6
29,York,2014.0,26.0,12607.0,206.2
30,Buxton,2016.0,17.0,8253.0,206.0
31,Vassalboro,2012.0,9.0,4368.0,206.0
32,Hancock,2016.0,5.0,2433.0,205.5
33,Jefferson,2012.0,5.0,2434.0,205.4
34,Kennebunkport,2008.0,8.0,3930.0,203.6
35,Farmingdale,2016.0,6.0,2948.0,203.5
36,Bucksport,2011.0,10.0,4925.0,203.0
37,Kennebunkport,2015.0,7.0,3448.0,203.0
38,Bucksport,2015.0,10.0,4939.0,202.5
39,Cumberland,2013.0,15.0,7407.0,202.5
40,Winthrop,2014.0,12.0,5931.0,202.3
41,Winthrop,2015.0,12.0,5931.0,202.3
42,Kennebunkport,2011.0,7.0,3462.0,202.2
43,Woolwich,2008.0,6.0,2968.0,202.2
44,Limerick,2013.0,6.0,2972.0,201.9
45,Freeport,2009.0,16.0,7957.0,201.1
46,Raymond,2011.0,9.0,4485.0,200.7
47,Kittery,2010.0,19.0,9490.0,200.2
48,Gray,2014.0,16.0,8002.0,200.0
49,Falmouth,2014.0,23.0,11536.0,199.4
50,Cumberland,2015.0,15.0,7547.0,198.8
51,Dayton,2015.0,4.0,2017.0,198.3
52,New Gloucester,2011.0,11.0,5569.0,197.5
53,Alfred,2011.0,6.0,3043.0,197.2
54,Falmouth,2012.0,22.0,11159.0,197.2
55,Acton,2015.0,5.0,2539.0,196.9
56,Mount Desert,2012.0,4.0,2035.0,196.6
57,Readfield,2008.0,5.0,2555.0,195.7
58,Woolwich,2013.0,6.0,3069.0,195.5
59,Windham,2013.0,34.0,17400.0,195.4
60,Lebanon,2013.0,12.0,6153.0,195.0
61,Bowdoin,2011.0,6.0,3078.0,194.9
62,Bowdoin,2013.0,6.0,3079.0,194.9
63,Windham,2014.0,34.0,17565.0,193.6
64,Freeport,2008.0,16.0,8270.0,193.5
65,Saint George,2014.0,5.0,2584.0,193.5
66,Readfield,2009.0,5.0,2588.0,193.2
67,Readfield,2014.0,5.0,2595.0,192.7
68,Sidney,2009.0,8.0,4151.0,192.7
69,Windsor,2013.0,5.0,2597.0,192.5
70,Searsport,2016.0,5.0,2599.0,192.4
71,Camden,2014.0,9.0,4679.0,192.3
72,Windsor,2014.0,5.0,2601.0,192.2
73,Readfield,2011.0,5.0,2612.0,191.4
74,Cumberland,2009.0,14.0,7327.0,191.1
75,Kittery,2015.0,18.0,9446.0,190.6
76,Pittston,2014.0,5.0,2626.0,190.4
77,Turner,2012.0,11.0,5780.0,190.3
78,South Berwick,2014.0,14.0,7374.0,189.9
79,South Berwick,2015.0,14.0,7374.0,189.9
80,Warren,2010.0,9.0,4751.0,189.4
81,Warren,2013.0,9.0,4756.0,189.2
82,Belgrade,2015.0,6.0,3183.0,188.5
83,Limington,2010.0,7.0,3713.0,188.5
84,Warren,2011.0,9.0,4779.0,188.3
85,Sidney,2016.0,8.0,4253.0,188.1
86,Unity,2015.0,4.0,2128.0,188.0
87,Machias,2015.0,4.0,2131.0,187.7
88,Cape Elizabeth,2014.0,17.0,9088.0,187.1
89,Chelsea,2015.0,5.0,2677.0,186.8
90,Hollis,2009.0,8.0,4306.0,185.8
91,Freeport,2015.0,15.0,8077.0,185.7
92,Wells,2014.0,18.0,9714.0,185.3
93,Limington,2012.0,7.0,3779.0,185.2
94,Poland,2014.0,10.0,5418.0,184.6
95,Lincolnville,2012.0,4.0,2173.0,184.1
96,Berwick,2013.0,14.0,7639.0,183.3
97,Durham,2011.0,7.0,3832.0,182.7
98,Harrison,2013.0,5.0,2738.0,182.6
99,Norway,2014.0,9.0,4933.0,182.4
100,Bristol,2009.0,5.0,2759.0,181.2
101,Standish,2011.0,18.0,9946.0,181.0
102,Casco,2014.0,7.0,3870.0,180.9
103,Harrison,2016.0,5.0,2766.0,180.8
104,Rockport,2016.0,6.0,3325.0,180.5
105,Chelsea,2008.0,5.0,2771.0,180.4
106,Durham,2013.0,7.0,3882.0,180.3
107,Hollis,2015.0,8.0,4445.0,180.0
108,Kittery,2014.0,17.0,9446.0,180.0
109,Thomaston,2013.0,5.0,2783.0,179.7
110,Vassalboro,2008.0,8.0,4472.0,178.9
111,Yarmouth,2016.0,15.0,8434.0,177.9
2,Naples,2013.0,7.0,3942.0,177.6
3,Rockland,2011.0,13.0,7325.0,177.5
4,Cumberland,2011.0,13.0,7351.0,176.8
5,Waldoboro,2009.0,9.0,5091.0,176.8
6,Carmel,2016.0,5.0,2830.0,176.7
