Location,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,Max_Year,Max,Mean
Abbot,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,2016.0,0.0,0.0
Acton,42.1,41.8,40.9,120.9,0.0,160.0,39.4,198.6,78.1,195.2,2015.0,198.6,91.7
Addison,N/R,0.0,N/R,0.0,0.0,0.0,N/R,N/R,0.0,485.4,2017.0,485.4,80.89999999999999
Albion,47.1,0.0,0.0,48.5,97.6,98.1,48.6,147.4,487.8,439.0,2016.0,487.8,141.41
Alexander,N/R,0.0,N/R,0.0,0.0,0.0,0.0,0.0,N/R,0.0,2009.0,0.0,0.0
Alfred,138.8,102.4,99.4,197.2,65.5,98.4,228.7,32.7,32.5,162.3,2014.0,228.7,115.79
Allagash,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
Alna,N/R,0.0,N/R,N/R,N/R,N/R,0.0,N/R,N/R,N/R,2009.0,0.0,0.0
Alton,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Amherst,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Amity,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
Andover,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Anson,0.0,0.0,39.8,0.0,0.0,40.2,0.0,0.0,0.0,122.4,2017.0,122.4,20.240000000000002
Appleton,0.0,0.0,N/R,N/R,N/R,447.8,N/R,N/R,N/R,N/R,2013.0,447.8,149.26666666666668
Argyle Twp,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Arrowsic,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Arundel,175.3,176.3,74.6,74.5,98.2,98.8,122.0,48.9,24.3,48.7,2009.0,176.3,94.16
Ashland,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,0.0,0.0,2016.0,0.0,0.0
Athens,0.0,0.0,0.0,0.0,0.0,N/R,0.0,0.0,0.0,N/R,2008.0,0.0,0.0
Atkinson,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,0.0,0.0,2016.0,0.0,0.0
Auburn,39.5,56.5,47.7,69.6,39.3,48.1,74.7,43.6,57.5,79.6,2017.0,79.6,55.61
Augusta,65.2,95.4,31.4,79.5,95.3,133.6,123.4,130.3,136.1,152.4,2017.0,152.4,104.26000000000002
Aurora,0.0,0.0,0.0,0.0,0.0,N/R,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Avon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Baileyville,N/R,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,0.0,0.0
Baldwin,N/R,0.0,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,2009.0,0.0,0.0
Bancroft Twp,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
Bangor,3.2,N/R,12.1,3.1,6.1,33.9,15.3,27.6,39.9,46.1,2017.0,46.1,20.811111111111114
Bar Harbor,78.0,267.2,171.9,153.6,153.3,133.4,272.1,289.9,388.5,407.9,2017.0,407.9,231.58
Baring Plt,N/R,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,0.0,0.0
Bath,78.1,115.8,82.2,59.2,59.4,119.7,119.8,35.9,108.3,96.3,2014.0,119.8,87.46999999999998
Beals,N/R,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,0.0,0.0
Beaver Cove,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,0.0,0.0,2016.0,0.0,0.0
Beddington,N/R,N/R,N/R,0.0,0.0,N/R,N/R,N/R,N/R,N/R,2011.0,0.0,0.0
Belfast,15.0,44.9,30.0,153.5,121.2,105.8,76.1,151.1,153.5,230.2,2017.0,230.2,108.13
Belgrade,91.7,154.6,0.0,343.2,62.6,251.8,125.7,189.8,344.3,250.4,2016.0,344.3,181.41000000000003
Belmont,0.0,0.0,N/R,N/R,0.0,N/R,N/R,N/R,0.0,N/R,2008.0,0.0,0.0
Benton,0.0,36.8,0.0,72.9,36.7,110.7,74.0,36.9,73.2,329.5,2017.0,329.5,77.07000000000001
Berwick,157.3,109.0,124.2,94.9,134.0,183.3,120.0,118.7,78.2,65.1,2013.0,183.3,118.47
Bethel,0.0,0.0,0.0,0.0,38.2,115.0,0.0,38.0,37.9,113.8,2013.0,115.0,34.29
Biddeford,79.9,42.3,56.4,60.7,74.7,55.4,64.7,18.3,27.1,40.7,2008.0,79.9,52.02
Bingham,0.0,0.0,0.0,0.0,0.0,N/R,0.0,0.0,0.0,N/R,2008.0,0.0,0.0
Blaine,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
Blanchard Twp,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,0.0,0.0,2016.0,0.0,0.0
Blue Hill,0.0,0.0,37.2,74.2,149.4,299.0,637.2,380.7,419.5,457.7,2014.0,637.2,245.49
Boothbay,31.1,0.0,0.0,32.5,161.6,161.7,64.6,131.1,97.6,130.2,2013.0,161.7,81.04
Boothbay Harbor,0.0,0.0,0.0,0.0,0.0,48.1,143.7,96.8,147.5,147.5,2016.0,147.5,58.36
Bowdoin,66.8,99.8,163.3,194.9,227.0,194.9,226.1,159.8,383.9,255.9,2016.0,383.9,197.24
Bowdoinham,356.4,388.8,242.3,310.7,345.7,451.5,276.8,204.5,337.7,574.1,2017.0,574.1,348.84999999999997
Bowerbank,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,0.0,0.0,2016.0,0.0,0.0
Bradford,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Bradley,0.0,N/R,0.0,0.0,0.0,0.0,N/R,N/R,0.0,N/R,2008.0,0.0,0.0
Bremen,N/R,0.0,0.0,0.0,N/R,N/R,N/R,N/R,N/R,N/R,2009.0,0.0,0.0
Brewer,0.0,N/R,0.0,10.6,21.3,21.4,32.1,54.4,119.9,65.4,2016.0,119.9,36.12222222222223
Bridgewater,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
Bridgton,19.2,19.0,19.2,115.0,57.8,115.7,76.0,115.8,57.4,210.6,2017.0,210.6,80.57000000000001
Brighton Plt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Bristol,72.7,181.2,108.9,257.7,147.7,333.0,701.4,599.5,406.1,147.7,2014.0,701.4,295.59000000000003
Brooklin,0.0,0.0,0.0,N/R,0.0,N/R,N/R,N/R,850.5,N/R,2016.0,850.5,170.1
Brooks,N/R,0.0,N/R,0.0,N/R,0.0,N/R,N/R,0.0,N/R,2009.0,0.0,0.0
Brooksville,0.0,0.0,0.0,N/R,0.0,N/R,N/R,N/R,N/R,N/R,2008.0,0.0,0.0
Brownfield,N/R,0.0,N/R,N/R,N/R,N/R,N/R,0.0,N/R,N/R,2009.0,0.0,0.0
Brownville,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,2016.0,0.0,0.0
Brunswick,63.8,127.7,74.0,122.5,92.5,122.0,135.9,87.0,124.8,76.8,2014.0,135.9,102.7
Buckfield,N/R,0.0,49.8,98.5,99.4,49.4,0.0,0.0,0.0,49.7,2012.0,99.4,38.53333333333333
Bucksport,40.7,100.7,121.9,203.0,242.5,220.7,263.2,204.4,163.8,368.5,2017.0,368.5,192.94
